,Score1,Score2,Reward
425,6.6,1.9,94.0
426,5.35,1.9,69.0
427,7.55,2.0,111.0
428,4.1,2.2,38.0
429,6.3,2.5,76.0
430,8.9,1.7,144.0
431,5.7,1.4,86.0
432,7.15,1.3,117.0
433,4.65,1.6,61.0
434,6.45,2.8,73.0
435,5.3,1.8,70.0
436,6.4,2.1,86.0
437,5.25,2.1,63.0
438,5.8,2.7,62.0
439,5.9,1.2,94.0
440,7.95,1.7,125.0
441,6.1,1.6,90.0
442,8.0,2.9,102.0
443,5.1,1.8,66.0
444,7.7,1.6,122.0
445,7.4,2.0,108.0
446,5.25,3.2,41.0
447,7.95,1.6,127.0
448,7.6,2.1,110.0
449,6.85,2.5,87.0
450,3.6,2.7,18.0
451,6.25,1.7,91.0
452,5.6,1.8,76.0
453,6.8,2.1,94.0
454,6.25,1.7,91.0
455,7.15,2.6,91.0
456,5.4,2.2,64.0
457,7.4,2.1,106.0
458,6.1,1.9,84.0
459,6.95,2.0,99.0
460,4.95,1.5,69.0
461,6.25,2.1,83.0
462,6.4,1.8,92.0
463,5.95,1.9,81.0
464,8.45,1.9,131.0
465,4.85,2.6,45.0
466,5.9,1.4,90.0
467,5.3,2.6,54.0
468,4.95,2.6,47.0
469,6.55,2.2,87.0
470,5.7,3.5,44.0
471,6.8,2.3,90.0
472,6.0,2.2,76.0
473,7.5,2.1,108.0
474,5.0,2.0,60.0
475,6.8,1.6,104.0
476,8.95,1.8,143.0
477,5.1,1.9,64.0
478,8.4,2.1,126.0
479,7.95,1.9,121.0
480,7.65,2.4,105.0
481,6.2,3.5,54.0
482,7.55,1.9,113.0
483,5.55,1.9,73.0
484,4.6,2.4,44.0
485,6.75,1.6,103.0
486,4.25,2.1,43.0
487,7.25,1.1,123.0
488,5.55,2.2,67.0
489,4.25,3.1,23.0
490,5.3,1.9,68.0
491,6.85,1.9,99.0
492,7.45,2.6,97.0
493,7.8,1.8,120.0
494,6.15,2.1,81.0
495,8.4,2.4,120.0
496,5.3,2.2,62.0
497,6.4,2.7,74.0
498,5.3,1.3,80.0
499,6.7,2.2,90.0
500,9.0,2.1,138.0
501,5.75,1.7,81.0
502,5.4,1.9,70.0
503,6.9,3.1,76.0
504,4.55,1.8,55.0
505,4.5,2.4,42.0
506,6.2,1.6,92.0
507,4.8,1.5,66.0
508,6.6,1.8,96.0
509,5.9,2.4,70.0
510,5.8,2.6,64.0
511,6.1,1.7,88.0
512,5.25,1.7,71.0
513,7.0,2.3,94.0
514,5.45,1.7,75.0
515,5.45,2.4,61.0
516,6.0,2.2,76.0
517,5.15,2.5,53.0
518,5.4,1.9,70.0
519,4.7,2.2,50.0
520,5.55,3.0,51.0
521,6.35,1.3,101.0
522,7.85,1.4,129.0
523,4.7,2.3,48.0
524,5.95,1.7,85.0
525,4.2,2.3,38.0
526,6.9,3.0,78.0
527,4.75,2.1,53.0
528,6.8,2.7,82.0
529,6.1,3.4,54.0
530,5.65,1.8,77.0
531,4.65,2.2,49.0
532,6.5,2.0,90.0
533,7.2,2.0,104.0
534,6.15,2.3,77.0
535,6.95,2.3,93.0
536,5.15,2.2,59.0
537,5.4,1.1,86.0
538,5.8,1.7,82.0
539,6.0,2.2,76.0
540,5.0,1.8,64.0
541,8.15,1.9,125.0
542,5.95,2.0,79.0
543,4.7,2.2,50.0
544,7.4,2.0,108.0
545,6.45,1.9,91.0
546,4.4,1.6,56.0
