DownAndDistance,Yardline,Expected Points Added (EPA)
2-13,90,0.167514
2-7,43,1.40731
2-12,90,0.292278
2-7,90,0.65528
2-8,74,0.548645
1-14,72,0.329511
2-6,90,0.69636
4-20,41,0
2-5,90,1.03438
3-3,19,1.79753
3-17,60,0.0845493
3-19,90,0.00775174
3-16,90,0.0399478
4-7,59,0.514144
3-15,90,0.146553
4-18,96,0.0168627
3-13,90,0.114713
3-6,90,0.632525
3-1,90,1.84714
3-12,73,0.394965
4-14,90,0.0642125
4-12,90,0.140088
4-9,90,0.221712
4-5,90,0.902542
4-3,90,0.948545
4-1,90,1.44708
4-14,31,0.0156919
4-6,60,0.564042
1-20,89,0.0463684
1-13,89,0.186068
4-15,39,0.0860211
1-12,89,0.323215
1-8,61,0.74492
4-10,66,0.289513
1-11,89,0.39392
2-18,57,0.20039
1-18,75,0.157896
1-9,89,0.462573
4-10,38,0.523136
1-8,89,0.462344
1-4,89,1.11873
1-1,89,1.83047
1-9,57,0.752691
2-18,89,0.139761
2-15,89,0.177337
2-13,89,0.16562
2-7,36,1.40117
2-12,89,0.288347
2-7,89,0.698461
2-8,55,0.79
1-14,75,0.279773
2-6,89,0.740293
4-20,42,0
2-5,89,1.03412
2-4,89,1.1725
2-1,89,1.888
3-3,20,1.86359
3-17,49,0.148702
3-19,89,0.00789725
3-16,89,0.0494699
4-7,58,0.574852
3-15,89,0.140834
4-18,99,0.01775
3-13,89,0.102652
3-11,89,0.236643
3-6,89,0.749709
1-12,71,0.43031
4-15,89,0.0336125
3-12,74,0.375322
4-14,89,0.0405747
4-12,89,0.128016
4-9,89,0.24788
3-2,24,2.59523
4-8,89,0.171994
4-5,89,1.02077
4-3,89,1.02812
2-11,87,0.303585
3-18,43,0.329066
4-2,89,0.943328
4-1,89,1.52456
4-14,28,0.5009
4-6,35,0.638767
1-20,88,0.0401387
1-19,88,0.0225575
1-9,40,0.993683
2-18,40,0.839668
1-18,88,0.126499
1-13,88,0.188153
4-15,88,0.0230749
1-12,88,0.381372
2-18,56,0.197813
1-18,72,0.118372
1-9,88,0.454722
4-10,39,0.353502
1-8,88,0.437532
1-4,88,1.1546
1-1,88,1.85209
1-9,56,0.782412
2-18,88,0.144079
2-15,88,0.179355
2-13,88,0.182116
2-7,88,0.672622
1-14,74,0.256829
2-8,72,0.500073
2-6,88,0.691202
4-20,43,0
2-5,88,1.05471
2-4,88,1.19013
2-1,88,1.98831
3-3,21,1.92647
3-17,62,0.048374
3-19,88,0.00925999
3-16,88,0.0448722
3-15,88,0.154362
4-18,98,0.0300706
3-13,88,0.107226
3-6,88,0.687247
3-12,75,0.363138
4-14,88,0.0988678
4-12,88,0.116583
4-9,88,0.267616
4-5,88,1.00884
4-3,88,0.879006
3-18,40,0.727007
2-11,86,0.312764
4-2,88,1.12164
4-1,88,1.62416
1-19,87,0.0221859
1-13,87,0.192063
4-15,41,0.207908
1-12,87,0.35273
1-18,69,0.129966
1-9,87,0.477314
4-10,44,0.317081
1-8,87,0.485977
1-4,87,1.15738
2-15,87,0.177028
2-13,87,0.184472
2-4,90,1.10562
2-8,87,0.429778
2-7,87,0.673841
2-8,53,0.76281
1-14,77,0.225858
2-6,87,0.757662
4-20,44,0
2-5,87,0.935773
2-2,87,1.60768
3-3,30,2.07989
3-17,59,0.0750069
3-19,87,0.0111148
3-16,87,0.0484551
4-7,52,0.529279
3-15,87,0.156699
3-13,87,0.102356
3-14,64,0.176298
3-6,87,0.671071
3-4,87,1.18098
4-16,87,0.0182412
1-12,73,0.442366
4-15,87,0.0484344
3-12,68,0.444841
4-14,87,0.0514283
4-12,87,0.10787
4-9,87,0.304434
4-5,87,1.03141
4-3,87,0.849473
4-1,87,1.53721
1-19,86,0.0300424
1-13,86,0.183211
4-15,42,0.0884636
1-12,86,0.366425
1-18,66,0.142367
1-9,86,0.48074
4-10,45,0.393467
1-8,86,0.467974
1-4,86,1.2644
2-15,86,0.197199
2-13,86,0.177785
2-8,86,0.492925
2-7,86,0.678936
1-14,76,0.229175
2-8,54,0.7488
2-6,86,0.75462
4-20,45,0
2-5,86,1.07782
2-2,86,1.62406
3-3,31,1.90863
3-17,56,0.0768852
3-19,86,0.00937871
3-16,86,0.0502085
4-7,55,0.576268
3-15,86,0.174046
4-3,97,0.749351
2-16,86,0.0711968
3-13,86,0.11646
3-14,65,0.204684
3-6,86,0.757461
3-4,86,1.31899
4-16,86,0.025681
1-12,74,0.458935
4-15,86,0.0704729
3-12,69,0.411945
4-14,86,0.0218788
4-12,86,0.119138
4-9,86,0.218381
4-5,86,1.01627
4-3,86,1.01727
4-1,86,1.55864
1-19,85,0.0249085
1-13,85,0.210378
4-15,43,0.115859
1-12,85,0.358719
2-18,61,0.166974
1-18,71,0.120776
1-9,85,0.509211
4-10,42,0.278483
1-8,85,0.52568
1-4,85,1.34148
3-15,53,0.444344
4-7,86,0.26119
2-20,85,0.0227364
2-15,85,0.20087
2-13,85,0.20046
2-7,85,0.704924
2-8,51,0.753543
1-14,79,0.246234
2-6,85,0.691464
4-20,46,0
2-5,85,1.09411
2-2,85,1.56717
3-3,16,2.16106
3-17,61,0.0643178
3-19,85,0.0119619
4-7,54,0.554214
3-15,85,0.15894
4-3,96,0.888626
2-16,87,0.0687713
3-13,85,0.0933164
3-9,85,0.429071
3-14,66,0.191588
3-6,85,0.665199
3-4,85,1.24336
4-16,85,0.0187661
3-12,70,0.342746
4-14,85,0.0461703
4-13,85,0.0464486
4-12,85,0.142382
4-9,85,0.238015
4-5,85,1.05061
4-3,85,0.98245
4-1,85,1.61895
1-19,84,0.0276142
1-13,84,0.223039
4-15,44,0.103886
1-12,84,0.381858
2-18,60,0.166659
1-18,68,0.154884
1-9,84,0.458596
4-10,43,0.293076
1-8,84,0.525
1-4,84,1.29481
2-15,84,0.219311
2-13,84,0.196375
1-9,39,1.0074
2-18,51,0.356175
1-18,85,0.123804
2-7,49,1.16772
2-12,84,0.334344
2-4,85,1.24381
2-8,84,0.463328
2-7,84,0.709485
1-14,78,0.24261
2-8,52,0.812442
2-6,84,0.730816
4-20,47,0
2-5,84,1.02532
2-8,85,0.436279
2-4,84,1.27014
3-3,17,1.77941
3-17,58,0.092593
3-19,84,0.012318
3-16,84,0.0527531
4-7,49,0.634209
3-15,84,0.175354
2-16,84,0.0747112
3-13,84,0.0911502
3-14,67,0.175821
3-6,84,0.722566
3-4,84,1.25074
4-16,84,0.0316675
3-12,71,0.404022
4-14,84,0.0498266
4-13,84,0.0694993
4-12,84,0.14266
4-9,84,0.273831
4-5,84,0.956122
4-3,84,0.987331
4-1,84,1.61144
1-19,83,0.0273968
2-7,55,0.992662
2-12,86,0.32073
1-9,33,1.02989
2-18,49,0.461393
1-18,83,0.137884
1-13,83,0.213762
4-15,45,0.108048
1-12,83,0.328819
1-18,65,0.148274
1-9,83,0.476159
4-10,16,0
1-8,83,0.530105
1-4,83,1.18405
3-16,85,0.0558182
1-2,83,1.63914
3-15,55,0.320358
4-7,84,0.24597
2-20,83,0.0198503
2-15,83,0.203846
2-13,83,0.197083
1-9,36,0.932742
2-18,44,0.665036
1-18,84,0.107173
2-7,50,1.15871
2-12,83,0.348554
3-2,25,2.78105
4-8,88,0.204007
2-10,83,0.362927
2-4,86,1.32696
2-8,83,0.481012
2-7,83,0.722769
1-14,49,0.540397
2-8,49,0.85724
2-6,83,0.774873
4-20,48,0
2-5,83,1.06208
2-2,83,1.65547
3-3,26,2.11931
3-19,83,0.0101841
3-16,83,0.0638615
4-7,48,0.668249
3-15,83,0.160922
2-16,85,0.0805695
3-13,83,0.112356
3-14,68,0.198854
2-19,51,0.0569082
3-6,83,0.774798
3-5,83,1.03976
4-16,83,0.0248044
3-12,64,0.431313
4-14,83,0.0940346
4-13,83,0.0485546
4-12,83,0.171448
4-9,83,0.270399
2-10,90,0.310449
3-2,18,2.51814
4-8,83,0.278399
2-20,86,0.0395436
3-15,50,0.526303
4-7,83,0.395165
4-5,83,1.0695
2-16,24,0.262063
4-3,83,1.04572
4-1,83,1.68323
1-19,82,0.0306212
2-7,48,1.1857
2-12,85,0.333876
1-9,38,1.07094
2-18,50,0.402984
1-18,82,0.14098
1-13,82,0.225839
4-15,46,0.0655113
1-12,82,0.385493
1-9,82,0.516541
4-10,17,0
1-8,82,0.54571
1-4,82,1.31825
3-15,54,0.411849
4-7,87,0.183319
2-20,82,0.0279982
2-15,82,0.232102
2-13,82,0.197999
1-9,37,1.24672
2-18,45,0.577366
1-18,87,0.124862
2-7,51,1.07153
2-12,82,0.337313
2-10,82,0.358615
2-4,87,1.25031
1-14,80,0.224137
2-8,82,0.437372
2-7,82,0.779542
1-14,48,0.468542
2-8,50,0.807397
2-6,82,0.753457
4-20,49,0
2-5,82,1.06179
2-4,82,1.24987
2-2,82,1.68696
3-3,27,2.02176
3-19,82,0.0157787
3-16,82,0.055216
4-7,51,0.476997
3-15,82,0.188772
2-16,82,0.0803325
3-13,82,0.106818
3-9,82,0.477214
3-14,69,0.196672
2-19,50,0.0521961
3-6,82,0.748378
3-5,82,1.11366
4-16,82,0.0228191
3-12,65,0.482233
4-14,82,0.070268
4-13,82,0.0490707
4-12,82,0.124984
4-9,82,0.33751
4-5,82,1.04597
2-16,25,0.315583
4-3,82,0.992287
4-1,82,1.65546
1-19,81,0.0304669
1-13,81,0.222446
4-15,47,0.111709
1-12,81,0.385508
1-18,67,0.137424
1-9,81,0.555606
2-14,14,0.475274
4-10,46,0.380037
1-8,81,0.552146
1-4,81,1.32008
2-15,81,0.235334
2-13,81,0.195512
1-9,42,1.10065
2-18,46,0.580191
1-18,86,0.12164
2-7,44,1.3666
2-12,81,0.355624
3-2,27,2.5417
4-8,90,0.205593
2-10,81,0.376652
2-7,81,0.687087
2-8,63,0.664442
1-14,51,0.475423
2-6,81,0.815665
4-20,50,0
2-5,81,1.12461
3-3,28,1.90587
3-17,57,0.073038
3-19,81,0.011491
3-16,81,0.0520196
4-7,50,0.542449
3-15,81,0.175928
2-16,83,0.0765734
3-13,81,0.1213
3-14,70,0.17058
2-19,49,0.0598389
3-6,81,0.74623
3-5,81,1.14691
4-16,81,0.0341362
3-12,66,0.446507
4-14,81,0.0487915
4-13,81,0.0507474
4-12,81,0.155291
4-9,81,0.276286
2-20,84,0.0219227
3-15,52,0.502376
4-7,81,0.170117
4-5,81,1.07724
4-3,81,0.872722
4-1,81,1.64904
1-19,80,0.0330221
2-7,54,1.11409
2-12,87,0.330556
1-9,32,1.01312
2-18,48,0.534443
1-18,80,0.155504
1-13,80,0.215615
4-15,32,0.0735608
1-12,80,0.399279
1-18,64,0.158557
1-9,80,0.489948
2-14,15,0.679602
4-10,47,0.363101
1-8,80,0.565528
1-4,80,1.22289
3-15,40,0.579256
4-7,85,0.304399
2-20,80,0.0269681
2-15,80,0.234257
2-13,80,0.229203
1-9,43,1.02016
2-18,47,0.576677
1-18,89,0.119196
2-7,45,1.34114
2-12,80,0.361524
2-4,81,1.24162
1-14,82,0.191863
2-8,80,0.467243
2-7,80,0.786616
2-8,48,0.804274
1-14,50,0.453711
2-6,80,0.812637
4-20,51,0
2-5,80,1.06708
1-14,81,0.207997
2-8,81,0.447765
2-4,80,1.21937
3-3,29,2.07965
3-19,80,0.0120939
3-16,80,0.0619635
4-7,61,0.625286
3-15,80,0.190375
2-16,80,0.094639
3-13,80,0.101789
3-14,71,0.183558
2-19,48,0.054725
3-6,80,0.803656
3-5,80,1.06893
4-16,80,0.0285404
3-12,67,0.468577
4-14,80,0.0827939
4-13,80,0.0796141
4-12,80,0.150969
4-9,80,0.332898
3-2,17,2.79186
4-8,80,0.246452
2-20,87,0.0230637
3-15,51,0.480909
4-7,80,0.137409
4-5,80,1.04391
4-3,80,1.07357
4-1,80,1.73839
2-14,82,0.18319
4-14,41,0.0198325
1-20,79,0.0552907
1-19,79,0.0287117
1-13,79,0.246951
4-15,81,0.0453681
1-12,79,0.423272
1-9,79,0.511912
2-14,16,0.439439
1-11,11,0.529848
4-10,20,0.13914
1-8,79,0.554497
1-7,79,0.813744
1-4,79,1.37841
1-2,79,1.80873
3-15,59,0.298398
4-7,88,0.219193
2-20,79,0.0269491
2-16,79,0.10234
2-15,79,0.235002
2-13,79,0.210492
2-7,79,0.713935
2-8,93,0.388109
1-14,85,0.17315
2-6,79,0.831216
4-20,52,0
2-5,79,1.03426
2-2,79,1.71867
3-3,6,1.75171
3-19,79,0.0139034
1-2,85,1.59865
3-16,79,0.0630951
4-7,44,0.887579
3-15,79,0.202461
2-16,81,0.0864774
3-13,79,0.126201
4-4,91,0.986608
3-9,79,0.440068
3-1,59,2.43575
3-7,79,0.717782
3-6,79,0.799883
3-5,79,1.15965
3-17,72,0.0355886
3-3,79,1.25289
3-3,70,1.45015
3-17,67,0.0595352
4-19,79,0.0031109
4-18,79,0.0184836
4-16,79,0.0181886
3-12,92,0.234908
4-14,79,0.0545673
4-13,79,0.0666003
4-12,79,0.198841
1-8,48,1.08623
4-16,50,0.0116422
1-11,84,0.437549
4-10,79,0.231958
4-9,79,0.316635
2-20,90,0.0182586
3-15,46,0.638201
4-7,79,0.0964489
4-5,79,1.02669
4-3,79,1.02599
4-1,79,1.62319
2-14,83,0.178466
4-14,46,0.168241
1-20,78,0.0494983
1-19,78,0.033138
1-17,78,0.0660479
1-13,78,0.259821
4-15,82,0.0530435
1-12,78,0.401753
1-9,78,0.527699
2-14,17,0.642764
4-10,21,0.396834
1-8,78,0.560916
1-7,78,0.781571
1-4,78,1.39171
1-2,78,1.80902
2-20,78,0.0363152
2-16,78,0.0968996
2-15,78,0.235759
2-13,78,0.232568
1-4,30,2.36481
2-9,78,0.532506
2-7,78,0.803471
2-8,94,0.337537
1-14,84,0.229394
2-6,78,0.814208
4-20,53,0
2-5,78,1.14062
2-2,78,1.83773
3-3,7,1.72022
3-19,78,0.0174824
1-2,86,1.75375
3-16,78,0.0847629
4-7,47,0.609836
3-15,78,0.22699
3-13,78,0.103134
4-4,88,1.06637
3-9,78,0.495058
3-1,58,2.41187
3-7,78,0.709884
3-6,78,0.83709
3-5,78,1.18185
3-17,75,0.0379424
3-3,78,1.31064
2-5,53,1.44037
4-20,78,0
3-3,71,1.41087
3-17,64,0.0533754
4-19,78,0.0048523
4-16,78,0.0300713
3-12,93,0.229438
4-14,78,0.0800953
4-13,78,0.0358141
4-12,78,0.152991
1-8,49,0.966499
4-16,49,0.031694
1-11,85,0.409384
4-10,78,0.194913
4-9,78,0.322625
3-15,45,0.581021
4-7,78,0.238224
4-5,78,1.169
4-3,78,1.07227
4-1,78,1.73588
2-14,80,0.211503
4-14,43,0.131363
1-20,77,0.0562943
1-19,77,0.0398432
1-17,77,0.0676562
1-13,77,0.243673
4-15,83,0.0591526
1-12,77,0.413644
1-9,77,0.545122
2-14,18,0.786391
4-10,18,0.06957
1-8,77,0.544345
1-7,77,0.811193
1-4,77,1.39862
1-2,77,1.81616
2-20,77,0.0307857
2-16,77,0.10364
2-15,77,0.236039
2-13,77,0.213908
2-7,77,0.752811
2-8,91,0.381342
1-14,87,0.191991
2-6,77,0.885327
4-20,54,0
2-5,77,1.1054
2-2,77,1.74476
3-3,24,2.1125
3-19,77,0.0203744
3-16,77,0.0769305
4-7,46,0.667735
3-15,77,0.201249
3-13,77,0.122189
3-9,77,0.484271
3-1,57,2.44638
3-7,77,0.734069
1-19,89,0.0248598
3-6,77,0.769356
3-5,77,1.18743
3-3,88,1.18865
3-17,69,0.0492715
4-19,77,0.00250914
4-16,77,0.0498233
4-15,77,0.0559015
3-12,94,0.224788
4-6,82,0.453813
4-14,77,0.0627502
4-13,77,0.0528061
4-12,77,0.163116
1-11,82,0.456982
1-8,54,0.842932
4-16,60,0.0602674
4-10,77,0.18426
4-9,77,0.296779
2-20,88,0.019553
3-15,32,0.733279
4-7,77,0.380401
4-5,77,1.10869
4-3,77,1.14754
4-1,77,1.66291
2-14,81,0.17681
4-14,40,0.117524
1-20,76,0.0710091
1-19,76,0.0325288
1-17,76,0.0757929
1-13,76,0.382112
4-15,84,0.0516101
1-12,76,0.390355
1-9,76,0.556511
2-14,19,0.698135
4-10,19,0
1-8,76,0.529926
1-7,76,0.900101
1-4,76,1.27291
1-2,76,1.87179
3-15,60,0.204618
4-7,89,0.134201
2-20,76,0.0296841
2-16,76,0.0983853
2-15,76,0.222229
2-13,76,0.233462
1-9,95,0.432429
2-18,59,0.175086
1-18,77,0.144831
2-7,57,1.07065
2-12,76,0.371526
2-7,76,0.784404
2-8,92,0.38549
1-14,86,0.191825
2-6,76,0.843829
4-20,55,0
2-5,76,1.12383
2-2,76,1.7164
3-3,25,1.96929
3-19,76,0.0139551
1-2,84,1.57599
3-16,76,0.0655084
4-7,41,0.687374
3-15,76,0.202597
3-13,76,0.155365
4-4,90,1.06578
3-9,76,0.527305
3-1,56,2.44043
3-7,76,0.724918
3-6,76,0.752381
3-5,76,1.1315
3-17,66,0.0559675
3-3,89,1.07804
4-19,76,0.000993706
4-18,76,0.0257464
4-16,76,0.0314819
4-15,76,0.0526155
3-12,95,0.191977
4-6,83,0.373648
4-14,76,0.0671902
4-13,76,0.0622172
4-12,76,0.141366
1-11,83,0.442409
1-8,55,0.867297
4-16,51,0.0403136
4-10,76,0.257919
4-9,76,0.250038
3-15,47,0.657215
4-7,76,0.213094
4-5,76,1.11109
4-3,76,1.1809
4-1,76,1.7969
2-14,78,0.192369
4-6,50,0.678678
4-14,45,0.0823844
1-20,75,0.0640354
1-19,75,0.0351516
2-7,63,0.882352
