DownAndDistance,Yardline,Expected Points Added (EPA)
2-20,84,0.0365911
1-19,82,0.031312
1-17,82,0.062761
2-17,89,0.0410842
2-17,88,0.0462616
1-15,82,0.234758
2-15,90,0.185533
2-15,93,0.139224
1-13,82,0.275254
1-7,82,0.844026
2-7,88,0.720572
1-4,82,1.35003
2-4,91,1.12812
1-2,82,1.75301
2-2,90,1.56927
2-2,86,1.62406
2-2,91,1.52451
1-1,82,2.03415
2-1,89,1.90053
3-20,90,0.0180719
3-20,85,0.0156041
3-18,88,0.122634
2-16,82,0.0916669
3-16,93,0.0358814
3-13,94,0.0722858
3-11,90,0.250975
3-6,89,0.749709
3-6,92,0.656592
3-5,94,0.963434
3-4,87,1.18098
3-2,89,1.49299
3-1,97,1.60163
3-7,99,0.252147
3-1,95,1.55838
3-7,96,0.338278
3-1,92,1.6807
1-3,82,1.55206
4-17,94,0.0073543
4-9,90,0.221712
4-5,91,0.989694
1-19,81,0.037818
1-17,81,0.0823753
1-15,81,0.290034
2-15,88,0.192781
1-13,81,0.273306
2-13,92,0.14726
2-13,88,0.182116
2-10,92,0.321973
2-8,83,0.506279
1-7,81,0.829951
2-7,83,0.722769
1-4,81,1.45915
2-3,86,1.36579
1-2,81,1.88635
1-1,81,2.00824
2-1,94,1.85312
2-1,83,2.06423
2-1,92,1.86187
2-1,85,1.98126
3-20,88,0.0241281
3-18,89,0.105247
2-16,81,0.0864774
3-16,90,0.0465213
3-16,92,0.0373396
4-18,99,0.01775
3-13,89,0.11028
3-11,91,0.21199
3-10,93,0.244036
3-6,91,0.636369
3-5,93,0.986218
3-5,92,0.984401
3-4,92,1.11837
3-4,91,1.17118
3-2,90,1.44359
3-7,98,0.239347
3-1,94,1.84032
1-3,87,1.30031
4-17,93,0.010469
1-3,89,1.34963
4-17,91,0.00904159
4-16,88,0.0135413
4-16,93,0.0134911
4-13,92,0.0391901
4-13,90,0.0578836
4-9,93,0.257213
4-9,97,0.188992
4-5,93,0.90427
4-1,94,1.49683
1-19,80,0.0465931
1-17,80,0.0834367
2-17,90,0.0370437
1-15,80,0.267417
2-15,89,0.188737
2-15,84,0.219311
2-14,91,0.166923
1-13,80,0.291207
2-10,88,0.332239
2-10,91,0.304315
2-9,86,0.464345
1-7,80,0.815665
2-7,90,0.666756
2-7,89,0.698461
1-4,80,1.3001
2-4,86,1.32696
1-2,80,1.77931
2-2,89,1.57631
1-1,80,2.14914
2-1,91,1.83765
2-1,90,1.90907
2-16,80,0.094639
3-16,89,0.0494699
3-16,91,0.047495
3-11,85,0.279573
3-11,89,0.236643
3-8,93,0.322295
3-8,92,0.368047
3-6,88,0.687247
3-6,95,0.587044
3-6,90,0.647574
3-5,90,1.01026
3-4,88,1.19752
3-2,91,1.44954
3-1,90,1.84714
1-3,86,1.41453
4-17,90,0.00917518
1-3,84,1.49139
4-17,92,0.00818442
4-13,91,0.0475355
4-9,94,0.246683
4-5,92,0.940435
4-3,91,0.977375
2-11,97,0.1164
4-11,94,0.0997578
4-2,87,1.28276
1-19,79,0.0358139
1-17,79,0.0734883
2-17,84,0.0431234
1-15,79,0.277603
1-13,79,0.274635
2-13,84,0.196375
2-13,83,0.200327
2-10,86,0.365322
2-10,89,0.342788
1-7,79,0.974237
1-4,79,1.37841
2-4,88,1.19013
2-4,90,1.16924
2-3,85,1.31617
1-2,79,1.80873
1-1,79,2.11463
3-20,82,0.013381
3-18,87,0.135991
2-16,79,0.106883
3-16,88,0.0448722
3-13,86,0.126019
4-18,97,0.0160404
3-13,91,0.107062
3-10,86,0.280739
3-9,90,0.380385
3-8,96,0.267639
3-8,91,0.349498
3-8,90,0.343828
3-5,89,1.05853
3-4,90,1.19648
3-4,89,1.16555
3-2,87,1.56903
3-2,88,1.50406
3-13,90,0.118866
4-18,96,0.0168627
4-16,89,0.0361783
1-12,88,0.416004
4-15,88,0.153218
4-13,89,0.0465282
4-12,96,0.0452409
4-12,89,0.128016
4-9,95,0.2393
1-19,78,0.0391278
1-17,78,0.0943561
1-15,78,0.269005
2-15,82,0.232102
2-15,86,0.208011
2-14,88,0.188171
2-14,83,0.195153
1-13,78,0.285035
2-13,87,0.196127
2-13,91,0.167347
2-10,87,0.384372
2-8,87,0.470361
2-8,86,0.492925
1-7,78,0.819802
2-7,86,0.794592
2-7,87,0.749558
1-4,78,1.54064
2-4,93,1.22526
2-4,85,1.26548
1-2,78,1.80902
2-2,87,1.65433
1-1,78,2.12329
2-1,87,1.91596
3-20,86,0.0145306
3-18,86,0.137368
2-16,78,0.128384
3-13,87,0.152382
3-13,83,0.19526
4-18,98,0.0300706
3-13,88,0.130876
3-11,88,0.233439
3-10,87,0.31139
3-10,91,0.292049
3-10,88,0.269053
3-9,91,0.360961
3-9,88,0.436685
3-8,89,0.383205
3-5,88,1.01129
3-2,86,1.50218
3-7,97,0.390871
3-1,93,1.82415
1-3,88,1.32834
4-17,88,0.00799279
4-16,90,0.00637581
4-13,87,0.050556
4-12,93,0.138741
4-12,95,0.137978
4-9,91,0.20951
4-5,90,0.902542
2-20,85,0.0319338
1-19,77,0.0490556
1-17,77,0.098534
2-17,85,0.0480728
2-17,83,0.0526239
1-15,77,0.271804
