DownAndDistance,Yardline,Expected Points Added (EPA)
1-9,62,0.621806
2-18,90,0.0943857
2-15,90,0.151306
2-13,90,0.165658
2-7,43,1.21406
2-12,90,0.244002
2-7,90,0.548852
2-8,74,0.533648
1-14,72,0.268548
2-6,90,0.62005
4-20,41,0
2-5,90,0.919811
3-3,19,2.00013
3-17,60,0.0812526
3-19,90,0.00711687
3-16,90,0.0601499
4-7,59,0.472474
3-15,90,0.147318
4-18,96,0.00728719
3-13,90,0.0906533
3-6,90,0.598412
3-1,90,1.51333
3-12,73,0.324697
4-14,90,0.0343762
4-12,90,0.101002
4-9,90,0.163236
4-5,90,0.850757
4-3,90,0.879467
4-1,90,1.27545
4-14,31,0
4-6,60,0.547475
1-20,89,0.0353503
1-13,89,0.176185
4-15,39,0.151067
1-12,89,0.290784
1-8,61,0.76382
4-10,66,0.239435
1-11,89,0.316651
2-18,57,0.12892
1-18,75,0.116873
1-9,89,0.380078
4-10,38,0.409607
1-8,89,0.470366
1-4,89,1.05076
1-1,89,1.63294
1-9,57,0.718777
2-18,89,0.100605
2-15,89,0.160798
2-13,89,0.168587
2-7,36,1.41854
2-12,89,0.251788
2-7,89,0.564777
2-8,55,0.780685
1-14,75,0.256988
2-6,89,0.635211
4-20,42,0
2-5,89,0.899057
2-4,89,1.01182
2-1,89,1.67865
3-3,20,1.82696
3-17,49,0.140733
3-19,89,0.00841043
3-16,89,0.0583016
4-7,58,0.452508
3-15,89,0.156775
4-18,99,0.00585421
3-13,89,0.100193
3-11,89,0.200818
3-6,89,0.607592
1-12,71,0.406528
4-15,89,0.0336295
3-12,74,0.333261
4-14,89,0.037446
4-12,89,0.0914308
4-9,89,0.174203
3-2,24,2.4117
4-8,89,0.242677
4-5,89,0.878678
4-3,89,0.863145
2-11,87,0.26398
3-18,43,0.213152
4-2,89,0.834389
4-1,89,1.30588
4-14,28,0.160011
4-6,35,0.777151
1-20,88,0.0373453
1-19,88,0.0312877
1-9,40,0.950385
2-18,40,0.607568
1-18,88,0.0930481
1-13,88,0.18173
4-15,88,0.052355
1-12,88,0.298504
2-18,56,0.132285
1-18,72,0.123448
1-9,88,0.383904
4-10,39,0.39891
1-8,88,0.465478
1-4,88,1.0678
1-1,88,1.64773
1-9,56,0.689212
2-18,88,0.101945
2-15,88,0.159422
2-13,88,0.175644
2-7,88,0.578275
1-14,74,0.26129
2-8,72,0.555162
2-6,88,0.672253
4-20,43,0
2-5,88,0.907618
2-4,88,0.99098
2-1,88,1.70447
3-3,21,2.23601
3-17,62,0.0752315
3-19,88,0.00895576
3-16,88,0.0631396
3-15,88,0.155507
4-18,98,0.00761302
3-13,88,0.10468
3-6,88,0.620432
3-12,75,0.312056
4-14,88,0.0336749
4-12,88,0.103255
4-9,88,0.179285
4-5,88,0.873253
4-3,88,0.867723
3-18,40,0.344227
2-11,86,0.26636
4-2,88,0.880837
4-1,88,1.29887
1-19,87,0.0347148
1-13,87,0.187165
4-15,41,0.110547
1-12,87,0.304886
1-18,69,0.124639
1-9,87,0.391348
4-10,44,0.315726
1-8,87,0.467612
1-4,87,1.06495
2-15,87,0.165866
2-13,87,0.173393
2-4,90,0.984326
2-8,87,0.436704
2-7,87,0.588833
2-8,53,0.763738
1-14,77,0.227872
2-6,87,0.650867
4-20,44,0
2-5,87,0.915
2-2,87,1.27412
3-3,30,1.9913
3-17,59,0.0898435
3-19,87,0.00880642
3-16,87,0.0673554
4-7,52,0.587437
3-15,87,0.159973
3-13,87,0.104061
3-14,64,0.176527
3-6,87,0.63597
3-4,87,0.990507
4-16,87,0.0267347
1-12,73,0.385258
4-15,87,0.0412469
3-12,68,0.361622
4-14,87,0.0419931
4-12,87,0.106983
4-9,87,0.195444
4-5,87,0.902049
4-3,87,0.905687
4-1,87,1.3458
1-19,86,0.0363539
1-13,86,0.192953
4-15,42,0.100182
1-12,86,0.303295
1-18,66,0.116577
1-9,86,0.399613
4-10,45,0.358888
1-8,86,0.478613
1-4,86,1.10109
2-15,86,0.168112
2-13,86,0.176655
2-8,86,0.43972
2-7,86,0.589517
1-14,76,0.237815
2-8,54,0.779138
2-6,86,0.674388
4-20,45,0
2-5,86,0.947508
2-2,86,1.26299
3-3,31,1.96519
3-17,56,0.0990596
3-19,86,0.00983231
3-16,86,0.0685559
4-7,55,0.462245
3-15,86,0.159934
4-3,97,0.77367
2-16,86,0.0923887
3-13,86,0.106292
3-14,65,0.162904
3-6,86,0.659584
3-4,86,1.05805
4-16,86,0.0321932
1-12,74,0.377969
4-15,86,0.0420999
3-12,69,0.363138
4-14,86,0.035022
4-12,86,0.0991478
4-9,86,0.188737
4-5,86,0.910706
4-3,86,0.903201
4-1,86,1.33262
1-19,85,0.0361576
1-13,85,0.198718
4-15,43,0.104037
1-12,85,0.312801
2-18,61,0.130733
1-18,71,0.125529
1-9,85,0.407892
4-10,42,0.367353
1-8,85,0.494621
1-4,85,1.07763
3-15,53,0.423358
4-7,86,0.307486
2-20,85,0.0212494
2-15,85,0.171396
2-13,85,0.183203
2-7,85,0.601317
2-8,51,0.793186
1-14,79,0.222763
2-6,85,0.682647
4-20,46,0
2-5,85,0.985363
2-2,85,1.27885
3-3,16,1.9847
3-17,61,0.0733018
3-19,85,0.00944873
4-7,54,0.497579
3-15,85,0.16657
4-3,96,0.76314
2-16,87,0.089822
3-13,85,0.101489
3-9,85,0.32079
3-14,66,0.164983
3-6,85,0.681266
3-4,85,1.03732
4-16,85,0.0361631
3-12,70,0.359234
4-14,85,0.0419701
4-13,85,0.0517996
4-12,85,0.0937239
4-9,85,0.192982
